"User";"Người dùng"
"Profile Mutual Friends";"Hồ sơ bạn bè chung"
"Profile Options";"Tùy chọn hồ sơ"
"Profile Status";"Trạng thái hồ sơ"
"Profile Tags";"Profile Tags"
"Quick Links";"Quick Links"
"Recent Signups";"Đăng ký gần đây"
"User Photo";"Hình ảnh người dùng"

"Remove from Friends";"Xóa khỏi danh sách bạn bè"
"Approve Selected";"Approve Selected"

"Member Home Quick Links Menu";"Member Home Quick Links Menu"
"Member Profile Options Menu";"Member Profile Options Menu"
"Member Edit Profile Navigation Menu";"Member Edit Profile Navigation Menu"
"Member Settings Navigation Menu";"Member Settings Navigation Menu"

"This account still requires either email verification or admin approval.";"Tài khoản này cần xác nhận email hoặc sự đồng ý của admin."
"Click <a href=""%s"">here</a> to resend the email.";"Click <a href=""%s"">tại đây</a> để gửi lại email."


# notification types
"{item:$subject} has posted on your {item:$object:profile}.";"{item:$subject} đã đăng trên {item:$object:profile} của bạn."
"You and {item:$subject} are now friends.";"Bạn và {item:$subject} đã thành bạn bè."
"{item:$subject} has requested to be your friend.";"{item:$subject} đã gửi yêu cầu trở thành bạn bè với bạn."
"{item:$subject} has requested to follow you.";"{item:$subject} đã yêu cầu để theo dõi bạn."
"You are now following {item:$subject}.";"Bạn đang được theo dõi {item:$subject}."
"{item:$subject} is now following you.";"{item:$subject} đang theo dõi bạn."
"{item:$subject} tagged you in a {item:$object:$label}.";"{item:$subject} tagged bạn trong một {item:$object:$label}."


# mail templates

# user_account_approved
"_EMAIL_USER_ACCOUNT_APPROVED_TITLE";"Tài khoản người dùng được chấp thuận"
"_EMAIL_USER_ACCOUNT_APPROVED_DESCRIPTION";"Email này được gửi tới thành viên khi tài khoản của họ được chấp thuận bởi admin."
"_EMAIL_USER_ACCOUNT_APPROVED_SUBJECT";"Tài khoản của bạn được chấp thuận."
"_EMAIL_USER_ACCOUNT_APPROVED_BODY";"[header]

Tài khoản của bạn được chấp thuận bởi một admin. Vui lòng click đường link sau để đăng nhập:

http://[host][object_link]

[footer]"

# notify_friend_accepted
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_TITLE";"Bạn bè được chấp thuận"
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_DESCRIPTION";"Email này được gửi tới thành viên khi yêu cầu kết bạn của họ được chấp thuận."
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_SUBJECT";"[sender_title] đã chấp nhận kết bạn với bạn."
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_BODY";"[header]

[sender_title] đã chấp nhận yêu cầu kết bạn với bạn. Vui lòng click đường link sau để đăng nhập:

http://[host][object_link]

[footer]"

# notify_friend_follow
"_EMAIL_NOTIFY_FRIEND_FOLLOW_TITLE";"Theo dõi bạn bè"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_DESCRIPTION";"Email này được gửi tới thành viên khi thành viên khác bắt đầu theo dõi họ."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_SUBJECT";"[sender_title] đã bắt đầu theo dõi bạn."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_BODY";"[header]

[sender_title] đã bắt đầu theo dõi bạn. Vui lòng click đường link sau để xem thành viên:

http://[host][object_link]

[footer]"

# notify_friend_follow_accepted
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_TITLE";"Chấp nhận theo dõi"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_DESCRIPTION";"Email này được gửi tới thành viên khi yêu cầu theo dõi thành viên khác được chấp nhận."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_SUBJECT";"[sender_title] đã chấp thuận yêu cầu theo dõi họ của bạn."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_BODY";"[header]

[sender_title] đã chấp thuận cho bạn theo dõi họ. Vui lòng click đường link sau để đăng nhập:

http://[host][object_link]

[footer]"

# notify_friend_follow_request
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_TITLE";"Yêu cầu theo dõi"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_DESCRIPTION";"Email này được gửi tới thành viên khi một thành viên khác yêu cầu theo dõi họ."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_SUBJECT";"[sender_title] đã yêu cầu theo dõi bạn."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_BODY";"[header]

[sender_title] đã yêu cầu theo dõi bạn. Vui lòng click đường link sau để đăng nhập và xác nhận yêu cầu này:

http://[host][object_link]

[footer]"

# notify_friend_request
"_EMAIL_NOTIFY_FRIEND_REQUEST_TITLE";"Yêu cầu kết bạn"
"_EMAIL_NOTIFY_FRIEND_REQUEST_DESCRIPTION";"Email này được gửi tới thành viên khi một thành viên khác yêu cầu kết bạn với họ."
"_EMAIL_NOTIFY_FRIEND_REQUEST_SUBJECT";"[sender_title] đã thêm bạn vào danh sách bạn bè."
"_EMAIL_NOTIFY_FRIEND_REQUEST_BODY";"[header]

[sender_title] đã thêm bạn vào danh sách bạn bè. Vui lòng click đường link sau để đăng nhập và xác nhận yêu cầu kết bạn này:

http://[host][object_link]

[footer]"

# notify_post_user
"_EMAIL_NOTIFY_POST_USER_TITLE";"Đăng trên hồ sơ"
"_EMAIL_NOTIFY_POST_USER_DESCRIPTION";"Email này được gửi tới thành viên khi có người đăng tải trên hồ sơ của họ."
"_EMAIL_NOTIFY_POST_USER_SUBJECT";"[sender_title] đã đăng tải trên hồ sơ của bạn"
"_EMAIL_NOTIFY_POST_USER_BODY";"[header]

[sender_title] đã đăng tải trên hồ sơ của bạn. Vui lòng click đường link sau để xem:

http://[host][object_link]

[footer]"

# notify_tagged
"_EMAIL_NOTIFY_TAGGED_TITLE";"Tagged"
"_EMAIL_NOTIFY_TAGGED_DESCRIPTION";"Email này được gửi tới thành viên khi có người tag bạn."
"_EMAIL_NOTIFY_TAGGED_SUBJECT";"Bạn đã được Tagged"
"_EMAIL_NOTIFY_TAGGED_BODY";"[header]

Bạn được tag trong [object_type_name]. Vui lòng click đường link sau để xem:

http://[host][object_link]

[footer]"

"Send Invites";"Gửi thư mời"
"Send a friend request if the user(s) join(s) the network";"Gửi yêu cầu kết bạn nếu người dùng tham gia vào mạng kết nối"
"Thanks for joining!";"Cảm ơn đã đăng ký!"

"Linking your Facebook account will let you login with Facebook";"Liên kết tài khoản Facebook sẽ cho phép bạn đăng nhập bằng Facebook"
"Linking your Facebook account will let you login with Facebook and publish content to your Facebook wall.";"Liên kết tài khoản Facebook sẽ cho phép bạn đăng nhập bằng Facebook và đăng nội dung trên tường Facebook của bạn."

"Profile Information";"Thông tin hồ sơ"
"Add Your Photo";"Thêm hình của bạn"

"Approve Friend Request";"Chấp nhận yêu cầu kết bạn"
"Available Networks";"Available Networks"
"There are currently no avaliable networks to join.";"There are currently no avaliable networks to join."
"There are no networks containing that keyword.";"There are no networks containing that keyword."
"Leaving Network...";"Leaving Network..."
"Joining Network...";"Joining Network..."
"Start typing to filter...";"Start typing to filter..."

"_EMAIL_NOTIFY_ADMIN_SIGNUP";"Admin signup notification"
"_EMAIL_NOTIFY_ADMIN_SIGNUP_DESCRIPTION";"This email is sent to the admin when an new member joins when ""Auto-approve Members"" is disabled."
"_EMAIL_NOTIFY_ADMIN_SIGNUP_SUBJECT";"A new user is pending your approval"
"_EMAIL_NOTIFY_ADMIN_SIGNUP_BODY";"[header]

Please login to the admin panel to aprovie this user.

[footer]"

"This account still requires admin approval.";"Tài khoản này yêu cầu sự chấp thuận của Admin."
"Your account has been verified. Please wait to be redirected or click %s to login.";"Tài khoản của bạn đã được xác nhận. Vui lòng đợi để chuyển hướng hoặc click %s để đăng nhập."
"Browser cookies are required to login.";"Browser cookies được yêu cầu để đăng nhập."

"Single";"Single"
"In a Relationship";"In a Relationship"
"Engaged";"Engaged"
"Married";"Married"
"It's Complicated";"It's Complicated"
"In an Open Relationship";"In an Open Relationship"
"Widowed";"Widowed"
"Facebook account you're trying to connect is already connected to another account.";"Tài khoản Facebook bạn đang kết nối đã kết nối với một tài khoản khác."
